team_id,name
8261500,Xtreme Gaming
5017210,Team Resilience
10150538,LGD Gaming
10149530,HULIGANI
9964962,GamerLegion
7119388,Team Spirit
2163,Team Liquid
9247354,Team Falcons
8255888,BoomBoys
55,_PowerRangers
9895247,Rune Eaters
9467224,Aurora Gaming
10081680,GLYPH
10150413,Iron Wing
9823272,Team Yandex
2586976,OG
9824702,PVISION
8291895,Tundra Esports
10020555,PlayTime
36,Natus Vincere
9828897,REKONIX
10136357,Nigma Galaxy 
9572001,TEAM VISION
726228,Vici Gaming
